,0
0,-0.8744906896712167
1,-1.67745270861806
2,-1.3076410009417556
3,-1.1076648489177352
4,-1.6232767785155726
5,-1.3890956915191188
6,-0.9133109578646904
7,-0.8910862656990689
8,-0.8907459246229724
9,-0.8963667947868493
10,-0.9118951380431056
11,-1.2384164044326431
12,-0.8208270961291185
13,-0.8894578427377842
14,-1.3618848107049493
15,-0.8782254742727751
16,-0.8840997501268079
17,-1.444701747549706
18,-1.1820823223951917
19,-0.8710465776185319
20,-0.877104137126456
21,-0.8756749035034695
22,-0.8696165489102439
23,-1.54804444707724
24,-1.2683576028631227
25,-0.8987292426762873
26,-0.7913056174875708
27,-1.5317324046256933
28,-1.1405616824108564
29,-1.4219353084457398
30,-1.1608783353919228
31,-2.1006656368043597
32,-3.0220858152413768
33,-1.7986329380032937
34,-0.9523391852154426
35,-1.6185073456552468
36,-1.859970598934406
37,-2.1871539833980114
38,-2.3436902687648793
39,-2.185427090882993
40,-1.8389241037869584
41,-1.434225294633934
42,-1.1877043451263014
43,-2.1733232010848327
44,-1.135014885347835
45,-1.0024970866436222
46,-1.8107829800269066
47,-2.0868705726591115
48,-1.4066541459068715
49,-0.9327330920650463
50,-1.9331284126044517
51,-1.6570737159244262
52,-2.744161010910253
53,-1.844382255944905
54,-1.2680434598636405
55,-2.089609943180146
56,-0.8057841945583629
57,-1.6553087949233176
58,-1.5961701166200155
59,-1.2079247677251077
60,3.3940886803129957
61,-1.3976354265654807
62,-0.9726291453004295
63,-1.5885704079082217
64,4.112810205286584
65,-0.9311347349656831
66,-1.0743566673764153
67,-0.5403014985941345
68,-0.9342619294207399
69,-1.117474674574683
70,-1.06437580817924
71,-0.8879534270636896
72,-0.8782177927257947
73,-1.6904800987591528
74,4.496809975861089
75,-1.5516110041421212
76,4.793501516393393
77,-1.410716913416288
78,-1.0919020098480778
79,-0.5754644977283713
80,-0.5560796696813668
81,-0.4330769286170859
82,-0.8222958050687224
83,-1.2458055607573981
84,-0.5419875460400934
85,-0.8555814363206842
86,-0.7506381639811528
87,4.670414487734548
88,4.372746934536392
89,-0.5857436819191544
90,-0.5197069372500974
91,4.878332212640139
92,-0.5912532609689278
93,-0.42031318450844346
94,4.9108564836455715
95,-0.8677252818884376
96,-0.5441949199705534
97,-0.6039697494206483
98,-0.7958096198086442
99,4.8563094390768144
100,-0.5605435511478971
101,-0.9972405915815405
102,-0.7053702908965772
103,-0.42744946918487103
104,-0.7359295955537508
105,4.337661438919934
106,-0.6504273118620973
107,-0.5036365648619224
108,-0.31740958572554534
109,4.906050635414182
110,-0.510441764116662
111,-0.49556845139168726
112,4.849977195198775
113,-0.6773329230267324
114,-0.262152459922658
115,4.685299507491776
116,-0.2861509158676002
117,4.9192012216481595
118,4.854266925453037
119,-0.48570722518431586
120,4.902029928982953
121,4.926357506863079
122,4.833284943886964
123,-0.2469846075822011
124,4.857021387817628
125,4.800935101672097
126,4.857635724792165
127,4.872694193385486
128,4.866225703659378
129,4.885382756900573
130,4.931950806349747
131,-0.5045906656482353
132,-0.6200581130280438
133,4.180758981363435
134,4.574842154681708
135,4.875093781758096
136,-0.7291487730602032
137,4.848117781265632
138,4.706147886656973
139,-0.484613649099244
140,-0.5476186710922508
141,5.813460944681116
142,4.766731974966966
143,4.8265722138805485
144,4.652739802277608
145,4.830930699072172
146,4.899968603426472
147,4.793421699907974
148,4.896212241318803
149,-0.642434902971043
150,4.847633734419538
151,-0.551703335651536
152,4.910935601348205
153,-0.5209039411842282
154,4.729534900982233
155,4.685520738924795
156,4.7650903887131015
157,4.8080136633478
158,4.779198529754421
159,4.885688453915907
160,4.822253492269748
161,4.873081099571587
162,4.61486137306675
163,4.802192174712831
164,-0.5277341661872815
165,4.873678343436964
166,-0.5128176086378226
167,-0.5609844169569023
168,4.838125466176928
169,-0.37496201781705263
170,4.777268185057643
171,4.890803443906623
172,5.76175930602059
173,4.855907914023653
174,4.6487830133794095
175,-0.8880347742613061
176,4.792067962737311
177,4.706293886291133
178,4.68613994402002
179,4.865279839347172
180,4.903373389156613
181,4.893656155852599
182,4.852937987912279
183,4.678135735056194
184,4.802692119738158
185,4.786154982300232
186,4.836765832613521
187,4.738090880177419
188,-0.42140547673724627
189,-0.8216590403615148
190,4.747850279227859
191,-0.24021599554261353
192,4.793244581277978
193,-0.4911679757138585
194,4.81856433216633
195,-0.42557335808985397
196,4.863539634176355
197,4.8427419131243745
198,4.864284792596917
199,4.824325772394735
200,4.669383720941678
201,4.77266070294825
202,4.722162580090749
203,4.660126992700178
204,-0.8672152954260552
205,4.778797021010056
206,-0.8953567881195841
207,4.624816682228737
208,4.556084412065245
209,4.128963673251702
210,-1.5519584255394894
211,-1.375729465192903
212,4.671217636650719
213,-0.9524180017771356
214,4.713832809655343
215,4.641279436601224
216,-1.3882580531861184
217,4.4508406275698125
218,-0.9664524591028366
219,4.508877934156029
220,4.8029650097328425
221,4.398516882681598
222,-0.8896231284489527
223,-0.9562538399553565
224,4.803645024821492
225,-0.8914349339274497
226,4.778792527327553
227,-1.6408304600011707
228,4.673252496117552
229,-0.9262555405563254
230,4.516302873340492
231,4.856837773217851
232,4.633276550943214
233,4.807261433428577
234,4.913693887736891
235,4.662930440981343
236,-0.47108798416441855
237,4.788251284977797
238,4.807869123940679
239,4.608156470198944
240,-0.9807987295847693
241,4.614275864126075
242,-0.9709799742728801
243,4.8676337071635505
244,4.66774100712825
245,4.6729035280981925
246,4.345252011105365
247,4.526423803312303
248,4.819850461539202
249,4.730157210810334
250,4.848361819247216
251,4.781726125902111
252,4.77215928557055
253,4.629033847117755
254,4.892117540895124
255,4.535265492196909
256,4.739241526918142
257,4.401197863240906
258,4.629295769392371
259,-0.42031527379744604
260,4.660720445503513
261,4.707203183348599
262,4.636494896596449
263,4.543898360994559
264,4.136052188300232
265,4.55309329822827
266,4.71587953828347
267,4.643969743507316
268,4.825142860775992
269,5.734727381676211
270,4.641212531912183
271,4.487144014397402
272,6.5946196332730285
273,4.82786114592738
274,4.82946866664182
275,4.593934714719455
276,4.589694102076534
277,4.487486874636627
278,4.693002044168516
279,4.527290467133152
280,4.659974001774717
281,4.386238260829327
282,4.6810443734172384
283,5.709341156975132
284,4.609394953016408
285,4.4046181033856975
286,4.623568799102285
287,4.695420998338422
288,4.824500604938422
289,4.716968747147939
290,4.7867968555494915
291,4.728526149453401
292,4.867812060727665
293,-0.49258840818739735
294,4.868748474898089
295,4.706139288177255
296,4.69335010035521
297,4.429593433581583
298,4.8560985781130555
299,4.739807002254338
300,4.818052598794868
301,4.618745859380921
302,4.787019864535442
303,4.770678931738857
304,4.576361857290879
305,4.581810065509179
306,4.619739436479833
307,4.797876649310736
308,4.7214048393730685
309,4.807124932207695
310,-0.19311975106555923
311,-0.5230938240918641
312,4.5970696983316435
313,4.546415344756009
314,4.692245451227019
315,4.509671148741402
316,4.889700462076643
317,4.844447092467433
318,4.826660940528533
319,4.875929502676523
320,4.79325710607426
321,4.775109973448814
322,4.842534550756897
323,4.8686257732429725
324,4.869645836088865
325,4.699595847819013
326,4.731400926620976
327,4.6023021381872935
328,4.651560308668637
329,4.820570111609159
330,4.819549856945429
331,4.862951892716939
332,4.677408021581342
333,4.6752694324482125
334,4.527862752626578
335,4.668772460439145
336,4.7182140396341525
337,-0.577788869008719
338,4.605860733991384
339,4.706483577315467
340,4.815472446935061
341,4.85723650405704
342,4.613540885816964
343,-0.6658633946446506
344,4.619110724024453
345,4.831358312121449
346,4.63720429561184
347,4.7664480225877295
348,4.85865774248891
349,4.809328684036208
350,4.735097496386862
351,-0.6087364438687612
352,4.895778887729012
353,4.749543994567619
354,4.557865852601654
355,4.843452804822291
356,4.592802477437557
357,-0.5628448818162516
358,4.827842112356491
359,4.8150171025385
360,4.708319408255018
361,-0.6230467445613346
362,4.736188090586663
363,4.739767235268896
364,4.664302808521768
365,4.692549112620411
366,4.782629365438523
367,4.598707406796279
368,4.601803631601582
369,4.744197776811761
370,4.775459725538642
371,4.786010171020148
372,4.756813109626368
373,4.587106060958094
374,4.730328475287353
375,4.800785489987461
376,4.709382263840874
377,4.799552354822991
378,4.60446506915641
379,4.74349121708212
380,4.83320724441638
381,4.621795861802298
382,4.637305037393287
383,4.823355513631277
384,4.704168221148892
385,4.878884704925388
386,4.660023385708961
387,4.733314767059145
388,4.699329077886757
389,4.583436009263954
390,4.643035000617912
391,4.751517891079157
392,4.793924663140691
393,5.663850569898731
394,4.495417564713695
395,4.647443462574536
396,4.812115670144987
397,-0.6270445297163912
398,4.835123815136884
399,4.699363484779466
400,-0.6832360443353563
401,4.483752179212132
402,4.824940517682736
403,-0.8308091404044395
404,4.815175822928501
405,4.835900919014852
406,4.844544842975751
407,4.877369556086952
408,4.867904916741777
409,4.831477542424649
410,4.851062332129196
411,4.791241722680169
412,4.55176241122435
413,4.746858593045669
414,4.7380960457747765
415,4.773218468796607
416,4.871090473981694
417,4.761845484375427
418,4.940362058888098
419,4.887577187148324
420,4.889873257347691
421,4.775809085540182
422,4.894986387483765
423,4.830293521889086
424,4.864973433859611
425,4.909173297181132
426,4.904348675565799
427,4.837044297499478
428,-0.7454613440642883
429,4.938300455975451
430,4.78445008563806
431,4.787316336751619
432,4.775271362915581
433,4.793615357181407
434,4.657976739765583
435,4.750397845365727
436,4.7187132893442545
437,5.702250961328912
438,-0.8743487176076276
439,4.8066237287671605
440,4.748244678152753
441,4.805264835278231
442,4.792853487191153
443,4.720246321539367
444,4.841126380889392
445,4.893994961391406
446,4.9423998155499245
