,reward
0,-1.2728951493212368
1,-0.0559597120153685
2,-0.8488466304727453
3,-0.8036896605768984
4,0.21489510176217771
5,-0.8266067304859439
6,-0.8301192162732896
7,-0.7570119243680773
8,-0.7732003031998274
9,-0.7517807671142591
10,-1.3040623094228765
11,-0.15353696741069414
12,-0.25151739588272704
13,-0.04642629923651863
14,-1.0200327430238512
15,-0.7228064128356382
16,0.3756171678523714
17,-0.8410263198119993
18,-0.11487136222945223
19,0.050192256425033735
20,-0.15194229495798858
21,0.061374736144565636
22,0.37136270679549693
23,-0.1811422779906318
24,-0.08662631247409015
25,-0.7545970950982971
26,-0.04085335091080632
27,-0.14526570066251535
28,0.1298724102395699
29,-0.029898139850501902
30,-0.12024642760503022
31,-0.098243272347922
32,-0.16316161003900634
33,-0.09338925447814442
34,0.2568363755418261
35,-0.006774169545399196
36,-0.18432993318313828
37,-0.30553511313653964
38,-1.2972967906256387
39,-0.060929463444695034
40,0.21217632688473995
41,0.17182200770323183
42,0.17472204292713597
43,-0.03061189449360579
44,-0.09177104674430049
45,-0.08402543607640356
46,-0.8455629809271509
47,0.08485223145477053
48,-0.1927636572868628
49,0.24858999567059722
50,0.2305903084510455
51,-0.06128315408351445
52,-0.9014331832925688
53,-0.31686664539073106
54,0.20760251908162414
55,0.043695613208267134
56,-0.17752344934467051
57,0.12833295757806273
58,0.04257435225033049
59,-0.8269463358940937
60,-0.1323787278283856
61,-0.22832613659186424
62,-0.24137879579611166
63,0.010223582669159334
64,-0.7790283688091804
65,-0.05732873147374807
66,-0.7982582663144198
67,0.4906373880934851
68,-0.36753446707028226
69,-0.8567167172718202
70,-1.03522645986671
71,-0.3967844084139065
72,-0.8176523071233295
73,-0.7192403438535571
74,-1.1876319252770957
75,-1.253450206098744
76,-0.7803431740998831
77,15.026026186873555
78,13.079252677535745
79,-0.17101648629225596
80,13.054636348136544
81,-0.3529301145265896
82,14.027567690908949
83,13.045093187509202
84,-0.36733436690850885
85,-0.38896651074374167
86,13.076055076522994
87,13.0466890310368
88,-0.4179792718053559
89,-0.42914784340337
90,13.067365799938889
91,-0.3529661353871154
92,13.061012143000383
93,13.063448549793364
94,13.065406016013185
95,13.072618548068931
96,-0.41455845908109
97,13.082036971930922
98,-0.3758878012230915
99,13.06330615272656
