,0
0,4.862992929254112
1,4.897172412222744
2,4.8703404229607745
3,4.899967839237956
4,4.923322073909404
5,-2.0869330870460194
6,-1.389861224067502
7,-1.477591755072316
8,-1.350920112742501
9,-1.6710671758695796
10,-1.5484118116303356
11,-1.3113211832618394
12,-1.3454717981556703
13,-1.3400089000192743
14,-2.6784556857772888
15,-1.3372156062041696
16,-1.3400608273478436
17,-1.7073570861622003
18,-1.3020628981526352
19,-1.2972791902024348
20,-1.2766382088111454
21,-1.3258145926030303
22,-1.8391910733083305
23,-1.3377362483737318
24,-1.638180029347076
25,-1.5879931724437055
26,-1.3151849515122938
27,-1.4780808392691247
28,-1.3106328128598141
29,-1.400905952384453
30,-1.5165201405620405
31,-1.255598906590045
32,-1.161996342961954
33,-1.2814874911203527
34,-1.632648400695535
35,-1.286924079381587
36,-0.8209229314190476
37,-1.2668929887353861
38,-1.3314416160314195
39,-1.3335399798016279
40,-1.6605326852335427
41,-1.3025508719106917
42,-0.8837684765359527
43,-1.2882008555295563
44,-1.1501010552768962
45,-1.6683339832854835
46,-0.8667707525943606
47,-1.8817757666418231
48,-1.2736470187557343
49,-1.3100428181229458
50,-1.523490965629739
51,-1.2908244307954015
52,-1.2982779451133206
53,-1.83450200225542
54,-1.02286961630308
55,-0.9943951169572631
56,-1.3044245637545617
57,-1.2729903299480063
58,-1.3763439260546744
59,-1.2927857353762322
60,-1.9515118279851205
61,-1.1319254660917535
62,-1.5154471383786112
63,-1.3751726697717066
64,-1.268406566244133
65,-1.5353197830100336
66,-1.4881049984286467
67,-1.3042269110526998
68,-1.524590492199805
69,-1.390778414840802
70,-1.2999868218457489
71,-1.3103703140158234
72,-1.3136375455899998
73,-1.7813398242727396
74,-1.3084404953806066
75,-1.8111020301824157
76,-1.3265367630942366
77,-1.4335081423523424
78,-0.9974861349942518
79,-0.6860960929928159
80,-0.4988587848353594
81,-0.21555112518686026
82,4.8909550278949006
83,-0.5397527775554789
84,-0.47645710587696777
85,-0.8348126357719114
86,-0.2015869876829034
87,-0.7531800622926249
88,-0.6808676396184432
89,-0.5337362051543564
90,-0.3033018375688247
91,-0.8461938365163237
92,-0.5200917267053004
93,-0.34185968642671893
94,-0.5506085517684448
95,-0.3408591586984745
96,-0.20941587881123014
97,-0.28394361962276815
98,-0.31523014482624867
99,-0.527893553302557
100,-0.48245501637313026
101,-0.5413612349484527
102,-0.5441428158150103
103,-0.5258179763665694
104,-0.5149003029212398
105,-0.49324289978615476
106,-0.5034475042309183
107,-0.44806001653731364
108,-0.5192110726365857
109,-0.5543103623933947
110,-0.5149391971493006
111,-0.5193641087006003
112,-0.5681258324460554
113,-0.5598895206620582
114,-0.5226340584049438
115,-0.5701077606972449
116,-0.5052970477176687
117,4.872167954618704
118,4.936519535958169
119,4.881203172598557
120,-0.5030911097922329
121,-0.4925209933735004
122,4.8873928531802715
123,-0.5463164897620199
124,4.869948897017113
125,-0.4148434801384997
126,-0.5637732319759762
127,-0.5449694905382707
128,-0.5208948447446327
129,4.825828069730824
130,-0.5213412152214632
131,-0.5299750646263436
132,-0.4925322166945606
133,-0.5089556620769454
134,-0.5308124899683881
135,-0.5325527053604048
136,-0.5442385904337893
137,-0.6135373560533532
138,-0.5397537389429683
139,-0.5303821405101621
140,-0.5332514840105205
141,-0.5489043556706574
142,-0.5343710010481899
143,-0.5481500747043963
144,-0.5205279839659799
145,-0.5165604623986584
146,-0.5474785811223019
147,-0.5207527360453064
148,-0.5743234594083169
149,-0.525978757170749
150,-0.5150428442158674
151,-0.5383749572021225
152,4.910987843034496
153,-0.5142046338538515
154,-0.5109382287478856
155,-0.5429120938002034
156,-0.5340712298929546
157,4.898959107654468
158,-0.5499870264691546
159,-0.555166629207744
160,-0.5107088403320919
161,-0.5701591821356694
162,4.864429278611445
163,-0.4988396096903943
164,-0.46509128355000473
165,-0.4203808517545121
166,-0.6567279146496561
167,4.880785608349642
168,-0.5173479203310287
169,-0.5421018504289256
170,-0.4918522260562006
171,-0.5956235479323602
172,-0.5828137050723194
173,-0.5572905475748641
174,-0.5344253909076533
175,-0.6682810870963652
176,4.856809719529187
177,4.865937192348602
178,-0.5166238832339047
179,-0.7713255162498336
180,-0.5160697611978418
181,4.844785188653823
182,4.835336729006106
183,-0.8936221361647961
184,-0.6874122679774691
185,-0.5985987969704873
186,-0.6860869629829245
187,4.7865047617700585
188,4.874029476696298
189,-0.6032264887457363
190,-0.5414098600761585
191,4.8892369726517515
192,4.882958928874229
193,-0.5198304994703591
194,-0.597880873404169
195,-0.5157401793235059
196,4.938625575622941
197,4.874817407893667
198,4.917123332414636
199,-0.5299764598167431
200,4.7952439331412835
201,-0.5997894303234388
202,4.897344225179569
203,-0.5674150627783284
204,-0.7065220840554911
205,4.7256083781771965
206,-0.5754020089968006
207,4.591778739367257
208,4.740279224178539
209,4.74634690913093
210,-0.55584431565897
211,-0.5308571391467456
212,4.6978327647463285
213,4.7613800191167375
214,4.929734446703506
215,4.582370419207137
216,-0.5046792898139811
217,4.883412010660178
218,4.693619468746189
219,4.752645056452317
220,4.773100753348491
221,4.682661960288334
222,-0.5275133242930823
223,4.747123304797203
224,-0.5919248577640195
225,4.8942529777407495
226,4.791079330809948
227,-0.5163048098044387
228,4.52243214187612
229,4.790280768561313
230,4.733182309097351
231,4.823935922955069
232,4.895618872402446
233,4.782297404302556
234,4.910371900757573
235,4.820093957849422
236,4.8338532234438105
237,-0.5277114188826741
238,-0.49041116315678845
239,4.8053160909039185
