,0
0,-0.8110851128157227
1,-1.9198012803827185
2,-1.404114917689484
3,-1.1752694435367135
4,-2.1964998468144104
5,-2.4801712081330245
6,-2.103961111011153
7,-1.8718972054710155
8,-2.0161000480865647
9,-0.8903262165425683
10,-2.354970739043684
11,-1.9607731353056947
12,-1.9591396670626076
13,-2.1472658554914443
14,-2.5298418352080576
15,-2.154419648540762
16,-1.30493717534227
17,-2.158068104871751
18,-2.1001845971372965
19,-2.2656742630461384
20,-2.0784391977029166
21,-1.9305893639749152
22,-2.447585384020405
23,-2.1191248860106966
24,-2.142966301224339
25,-1.8486248467307373
26,-1.956701783447662
27,-1.4773886185357423
28,-1.907296175551383
29,-2.277475036042754
30,-1.8671464976996326
31,-1.7596166065388334
32,-1.978999500029358
33,-1.0802933466075735
34,-0.7054773857632051
35,-2.3279346482198053
36,-1.7181806188816169
37,-2.432233955706407
38,-1.8743785205573338
39,-1.720621692133506
40,-2.2566373270518123
41,-2.354125078507422
42,-2.4407767037795676
43,-2.1245500669156656
44,-1.6306880527395284
45,-1.880929547809708
46,-3.2081590255387713
47,-2.2305265058434434
48,-1.8204013111473207
49,-1.9600667820040196
50,-1.6242942200728596
51,-2.210429371342982
52,-1.406760276183047
53,-3.25808922401634
54,-2.042073964636214
55,-1.458413751129255
56,-2.3471877071891134
57,-2.110732440485798
58,-2.2650453766648435
59,-1.6939881219053294
60,-2.632090404346017
61,-1.9499303426032244
62,-1.7841989852460416
63,-1.4815246412001932
64,-1.2250398356277539
65,-1.1895372234616364
66,-2.084490689025158
67,-2.0509401074467504
68,-0.9841805663563304
69,-1.9327354703434392
70,-1.8874902156527087
71,-1.5687482104933521
72,-2.0381533333808064
73,-1.5990403405653284
74,-1.2276112633574967
75,-1.9657332180108993
76,-1.7343871029412274
77,-2.1719960858721765
78,-2.2149839925246773
79,-1.4612349339415331
80,-2.0048027624209506
81,-1.4160955662133288
82,-1.925333596856193
83,-2.9630692856767884
84,-1.5014648713693564
85,-2.661834789588953
86,-1.9056403285743488
87,-1.2738548803219079
88,-2.108449491525781
89,-2.643199880924643
90,-1.6551629518260378
91,-2.192664909812385
92,-1.9281951664571801
93,-1.9293244450114495
94,-3.018203137124241
95,-2.0877865333268044
96,-1.8782290234172556
97,-1.9150496106904793
98,-2.1837964754742814
99,-1.5008859702685184
100,-2.05063192470396
101,-2.1165556445712097
102,-2.0146044444829307
103,-1.7139051043846347
104,-2.188048044960741
105,-2.0125031851265303
106,-1.9295943343078625
107,-1.0706591661334401
108,-2.3767271346730254
109,-1.1087353487851517
110,-2.4357854632986227
111,-2.6656718830003716
112,-2.18306130612918
113,-2.1965618151339497
114,-1.1468485498161076
115,-3.174193876686111
116,-2.12749635362389
117,-0.986724498563396
118,-2.383878792068933
119,-2.423937405189322
120,-2.7195212378259637
121,-1.0254166703569556
122,-2.164355294221799
123,-1.8650135827509478
124,-2.1709543507849385
125,-0.9280519865171041
126,-1.1487902860954886
127,-1.7429741257453388
128,-1.8577084158936743
129,-2.457977047202826
130,-1.0411065946333482
131,-1.8188690381786285
132,-1.8151219007341224
133,-2.0959616313587532
134,-1.1567346772123592
135,-1.2296933298966275
136,-1.868786057376002
137,-1.827227559165951
138,-1.0832624760773832
139,-1.3758486649037431
140,-2.789053271495985
141,-0.7149915391656005
142,-1.8442012319817027
143,-1.795650385946018
144,-2.7852391622123243
145,-1.9395452009554033
146,-1.6860351178350146
147,-2.1561280122526445
148,-1.841242611977387
149,-1.4204485373617244
150,-1.133237338236048
151,-2.4496404220597867
152,-2.400750300627531
153,-0.7064304158179454
154,-2.843005477225649
155,-1.7854772427512935
156,-2.223250748513678
157,-1.6820189399017775
158,-1.466804877810929
159,-1.7778234277143414
160,-2.0210456546558953
161,-2.8351039692012807
162,-2.254254192616692
163,-2.608334079183077
164,-1.8368445746934208
165,-0.9032733761752765
166,-2.1920581054799366
167,-1.7382094566836401
168,-1.2171718004665282
169,-2.005993595656738
170,-1.319413672987131
171,-2.064494304996379
172,-1.6493239269159585
173,-1.5634401318338762
174,-2.004786249012052
175,-0.8979401192251752
176,-2.298516468787624
177,-1.487386333248156
178,-2.858543112745601
179,-1.7031574869145625
180,-2.0143916516187863
181,-1.6098248002746463
182,-1.91814725356131
183,-2.5840644202097556
184,-2.0371377027727755
185,-2.198734209766211
186,-3.2135689251816744
187,-1.429130520070542
188,-2.1197351928988004
189,-2.19999706364258
190,-1.6480645005857495
191,-2.1677434140926968
192,-2.149789454133603
193,-2.7478956084729202
194,-1.786377062662282
