,reward
0,-1.7864276676067097
1,-1.0684171178254738
2,-0.6419368690155866
3,-0.6910312154179598
4,-1.587858390233333
5,-0.07868830562285678
6,-0.80691152286375
7,-1.1297437925381275
8,-0.6301755358343588
9,-0.3210424693890612
10,-0.06608908552362258
11,-1.283018820572737
12,-1.5079310722869113
13,-0.6787003777843568
14,0.21152120046639472
15,13.044875266733538
16,2.075762668672633
17,-0.7561220020344992
18,13.050150307092357
19,-0.8180033905426611
20,-0.3406101769777991
21,13.037273734375898
22,13.08120844069821
23,13.08193036645492
24,13.07906126604226
25,-0.38054698924504204
26,-0.679173316941676
27,-0.5869103115539502
28,-0.6279811729784195
29,13.08357493741036
30,-1.1423679384965362
31,-0.22299631361475458
32,13.043301987996488
33,0.7445356021988361
34,13.063210998764227
35,-0.06435774234695768
36,-1.0225296568718525
37,-0.17080938263507173
38,-1.0776802640870355
39,-0.034837419955117355
40,-0.39006163758753265
41,-0.48749278428233744
42,-0.622022692135189
43,-0.6266918834939667
44,13.074768183954529
45,-0.3989473646346158
46,-0.4322698850276082
47,-0.3678680581509205
48,-0.39712010483560833
49,-0.3801095048469888
50,-0.23096723828504517
51,-0.6083420819344287
52,-0.4323953167052428
53,-0.42696429876594366
54,-0.40064048246760375
55,-0.4163025214210987
56,-0.534809631080593
57,-0.8361227624351241
58,-0.1440143063998277
59,-0.15406624679869774
60,-0.40570216156546557
61,13.050695644697177
62,-0.4559400199019913
63,-0.1988679051816653
64,13.08951242352603
65,13.056165029360503
66,-0.21300168275348563
67,13.042471675904567
68,-0.4124914994094908
69,-0.10425064021696684
70,-0.3815729018715741
71,13.039915129811073
72,-0.3775784334159532
73,-0.06436043942746039
74,-0.42819403967312564
75,-0.4208007797678529
76,14.044056548988689
77,-0.4225970269103656
78,-0.4141339041016463
79,13.043818333551709
80,13.117839985291127
81,13.091418013562858
82,-0.4209538773978435
83,13.075392499687064
84,-0.41244177407578575
85,-0.3975006100088212
86,-0.4549480743639488
87,13.087728370015673
88,13.052510759109591
89,-0.4121634154855278
90,-0.3894774281442417
91,13.055189318812314
92,13.094053593850099
93,13.061163422350985
94,13.07854384992358
95,13.047066180668104
96,-0.39565424921111836
97,-0.4108609447352801
98,13.037941272659836
99,13.064623069564387
100,-0.38875951358881866
101,13.058461381616704
102,13.088954286456211
103,-0.3606481840919472
104,13.056531168925924
105,13.084576400885457
106,13.095881825328103
107,13.05148045381193
108,-0.4037945325432102
109,13.041466429565894
110,13.064078372506028
111,13.056109285068143
112,13.08116982125321
113,13.08616591545072
114,-0.3502167304688756
115,13.071709414415395
116,13.052703963909476
117,13.063134986722938
118,13.091322342544338
119,13.087486748889479
120,13.03706343076411
121,13.04174653147249
122,13.039842016204776
123,13.056430758535841
124,13.043813754798228
125,-0.39308819351626656
126,13.059376181267499
127,13.054017414826935
128,-0.44664540930025387
129,13.066405396069909
130,13.041771753684532
131,13.078428546667023
132,13.070817479724667
133,13.041384646890155
134,13.07214670376274
135,13.038841367471349
136,13.044173918079647
137,-0.131302347714494
138,-0.37185270012526994
139,-0.4370684115928951
140,13.06137418878416
141,13.064678681199531
142,-0.4020034133556707
143,13.079303249584537
144,13.060811462405129
145,13.07388427111666
146,13.055316143745795
147,13.052630634147757
148,13.064729190607926
149,13.04389704873779
150,13.093563176346144
151,13.041765219236758
152,13.033170473835085
153,13.081334003841508
154,13.063507173754546
155,13.088072406513549
156,14.067727174119325
157,13.05146359018835
158,13.094772922853835
159,13.105808450651981
160,13.037702650851049
161,13.044730214910395
162,13.07615266233968
163,13.039211872580712
164,13.034173275751057
165,13.066659036211643
166,13.048956547743634
167,13.049081935340205
168,13.031960100508961
169,13.059599290114582
170,-0.44139427133858344
171,13.040660543473573
172,13.037643564011258
173,13.048043134956943
174,13.081788254426144
175,13.03978704913142
176,13.064017437870172
177,13.077039245565073
178,13.05588521666408
179,13.045360716535336
180,13.057541716212121
181,13.057577881660674
182,13.044187977383231
183,13.044582243837905
184,13.046468485975
185,13.038189524137378
186,13.04339776668292
187,13.037038548349305
188,13.052450930753963
189,13.04887603874511
190,13.012569097155179
191,13.051519124448063
192,13.043784550525094
193,13.09535531967386
194,13.066200488488224
195,13.075481510437626
196,-0.7836182950903489
197,13.043952950919524
198,13.062691690444122
199,13.052782861288424
200,13.051515093362964
201,13.034781764623975
202,13.06087593913487
203,13.04118104723523
204,13.046151562823955
205,13.098300726705133
206,13.053650433236271
207,13.064537710116126
208,13.049775682248798
209,13.006177703187655
210,-0.6775577661325581
211,13.07180719744176
212,13.035068223274804
213,13.057301739185549
214,13.04284587189803
215,13.03856463833071
216,13.053576559288043
217,14.048061669007751
218,13.057066113744211
219,15.031283775269586
220,13.03787033392183
221,13.049837126209816
222,-0.7282064917199331
223,13.046834365525285
224,13.030993985214929
225,13.041350480326127
226,13.056266218410599
227,13.045185982112976
